nameRec,UnifiedPlusInd
Centaurea jacea,Centaurea jacea
Centaurea nicaeensis,Centaurea nigra
Centaurea nigra,Centaurea nigra
Centaurea nigra subsp. nigra,Centaurea nigra
Centaurea nigra var. nemoralis,Centaurea nigra
Centaurea scabiosa,Centaurea scabiosa
Centaurium,Centaurium erythraea
Centaurium erythraea,Centaurium erythraea
Centaurium littorale,Centaurium littorale
Centranthus ruber,Centranthus ruber
Cephalanthera damasonium,Cephalanthera damasonium
Cerastium,Cerastium
Cerastium arvense,Cerastium arvense
Cerastium brachypetalum,Cerastium brachypetalum
Cerastium diffusum,Cerastium diffusum
Cerastium fontanum,Cerastium fontanum
Cerastium fontanum subsp. holosteoides,Cerastium fontanum
Cerastium fontanum subsp. vulgare,Cerastium fontanum
Cerastium glomeratum,Cerastium glomeratum
Cerastium semidecandrum,Cerastium semidecandrum
Ceratocapnos,Ceratocapnos claviculata
Ceratocapnos claviculata,Ceratocapnos claviculata
Ceratochloa cathartica,Ceratochloa cathartica
Ceterach officinarum,Ceterach officinarum
Chaenorhinum minus,Chaenorhinum minus
Chaerophyllum hirsutum,Chaerophyllum temulum
Chaerophyllum temulum,Chaerophyllum temulum
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana
Chamerion,Chamerion angustifolium
Chamerion angustifolium,Chamerion angustifolium
Chara,Chara
Chelidonium majus,Chelidonium majus
Chenopodium,Chelidonium majus
Chenopodium album,Chenopodium album
Chenopodium album agg.,Chenopodium album
Chenopodium ficifolium,Chenopodium ficifolium
Chenopodium polyspermum,Chenopodium polyspermum
Chenopodium quinoa,Chenopodium quinoa
Chenopodium rubrum,Chenopodium rubrum
Chrysosplenium,Chrysosplenium
Chrysosplenium alternifolium,Chrysosplenium alternifolium
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium
Cicuta virosa,Cicuta virosa
Circaea lutetiana,Circaea lutetiana
Cirsium,Cirsium
Cirsium acaule,Cirsium acaule
Cirsium acaule x arvense = C. x boulayi,Cirsium arvense
Cirsium arvense,Cirsium arvense
Cirsium arvense var. arvense,Cirsium arvense
Cirsium arvense var. incanum,Cirsium arvense
Cirsium dissectum,Cirsium dissectum
Cirsium eriophorum,Cirsium eriophorum
Cirsium heterophyllum,Cirsium heterophyllum
Cirsium palustre,Cirsium palustre
Cirsium vulgare,Cirsium vulgare
Cirsium vulgare x acaule = C. x sabaudum,Cirsium vulgare
Cistus laurifolius,Cistus laurifolius
Cladium mariscus,Cladium mariscus
Claytonia perfoliata,Claytonia perfoliata
Claytonia sibirica,Claytonia sibirica
Clematis,Clematis vitalba
Clematis vitalba,Clematis vitalba
Clinopodium acinos,Clinopodium acinos
Clinopodium ascendens,Clinopodium ascendens
Clinopodium vulgare,Clinopodium vulgare
Cochlearia,Cochlearia sp.
Cochlearia anglica,Cochlearia sp.
Cochlearia danica,Cochlearia sp.
Cochlearia officinalis,Cochlearia sp.
Cochlearia officinalis sens.lat.,Cochlearia sp.
Cochlearia officinalis subsp. officinalis,Cochlearia sp.
Cochlearia officinalis subsp. scotica,Cochlearia sp.
Conifer seedlings/saplings,Conifer seedlings/saplings
Conium maculatum,Conium maculatum
